,Date,Year,Type,Country,Area,Location,Activity,Sex ,Age,Fatal (Y/N),Time,Species 
2897,17-Mar-1984,1984,Uncertain,SOMALIA,Unknown,Unknown,MURDER,M,Unknown,Unknown,Unknown,Unknown
2898,14-Mar-1984,1984,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,SURFING/WATERSPORTS,M,Unknown,N,17h30,Unknown
2899,10-Mar-1984,1984,Uncertain,SOUTH AFRICA,Eastern Cape Province,Swartkops River mouth,ROWING,M,Unknown,N,Unknown,Unknown
2900,01-Mar-1984,1984,Unprovoked,AUSTRALIA,Western Australia,Coral Bay,UNKNOWN,Unknown,Unknown,Unknown,Unknown,Unknown
2901,18-Feb-1984,1984,Provoked,SOUTH AFRICA,Eastern Cape Province,"Paradise Beach, Jeffreys Bay",FISHING,M,Unknown,N,Night,RAGGEDTOOTH SHARK
2902,17-Feb-1984,1984,Provoked,SOUTH AFRICA,KwaZulu-Natal,"Shark tank at Oceanographic Research Insitute, Durban",SWIMMING/DIVING,M,33,N,09h00,DUSKY SHARK
2903,12-Feb-1984,1984,Uncertain,SOUTH AFRICA,Eastern Cape Province,St. Georges Strand,UNKNOWN,Unknown,Unknown,Unknown,Unknown,Unknown
2904,11-Feb-1984,1984,Unprovoked,AUSTRALIA,Queensland,Derwent Island,FISHING,M,27,N,Unknown,REEF SHARK
2905,05-Jan-1984,1984,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port Alfred,SWIMMING/DIVING,M,14,N,09h30,RAGGEDTOOTH SHARK
2906,04-Jan-1984,1984,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umlaas Canal,UNKNOWN,F,14,Y,Unknown,Unknown
2907,1984,1984,Provoked,USA,California,San Francisco,STEINHART AQUARIUM,M,Unknown,N,Unknown,SEVENGILL SHARK
2908,1984,1984,Unprovoked,USA,Florida,"Indiatlantic, Brevard County",SURFING/WATERSPORTS,M,Unknown,N,Unknown,Unknown
2909,30-Dec-1983,1983,Uncertain,GREECE,Andikira Fokithes,Unknown,FISHING,M,36,Unknown,02h45,Unknown
2910,25-Dec-1983,1983,Unprovoked,USA,Florida,"Riviera Beach, Palm Beach County",SURFING/WATERSPORTS,M,17,N,15h30,Unknown
2911,24-Dec-1983,1983,Unprovoked,AUSTRALIA,South Australia,"Dangerous Reef, South Neptune Island",SWIMMING/DIVING,M,48,N,Unknown,WHITE SHARK
2912,22-Dec-1983,1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Great Fish River,SWIMMING/DIVING,M,16,N,12h30,Unknown
2913,21-Dec-1983,1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,SWIMMING/DIVING,M,47,N,08h15,RAGGEDTOOTH SHARK
2914,07-Dec-1983,1983,Uncertain,SOUTH AFRICA,KwaZulu-Natal,LaMercy,UNKNOWN,M,Unknown,Unknown,Unknown,Unknown
2915,21-Nov-1983,1983,Uncertain,PHILIPPINES,Central Philippines,Unknown,FERRY BOAT SANK,M,Unknown,N,Unknown,Unknown
2916,Reported      10-Nov-1983,1983,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",SURFING/WATERSPORTS,M,15,N,Unknown,TIGER SHARK
2917,10-Nov-1983,1983,Uncertain,SOUTH AFRICA,KwaZulu-Natal,Tongaat,SWIMMING/DIVING,F,Unknown,Unknown,Unknown,Unknown
2918,17-Oct-1983,1983,Unprovoked,USA,Florida,"Stuart Beach, Martin County",SURFING/WATERSPORTS,M,16,N,Unknown,Unknown
2919,13-Oct-1983,1983,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",SWIMMING/DIVING,M,20,N,Unknown,Unknown
2920,04-Sep-1983,1983,Unprovoked,USA,Florida,"Off Lake Worth, Palm Beach County",STANDING,M,15,N,Unknown,Unknown
2921,20-Aug-1983,1983,Unprovoked,USA,Oregon,"Cape Kiwanda,Tillamook County",SURFING/WATERSPORTS,M,Unknown,N,10h00,WHITE SHARK
2922,20-Aug-1983,1983,Unprovoked,SOUTH AFRICA,Western Cape Province,"Seal Island, False Bay",FISHING,M,29,N,10h00,WHITE SHARK
2923,15-Aug-1983,1983,Unprovoked,USA,Virginia,"Virginia Beach, Princess Anne County",SWIMMING/DIVING,F,14,N,Morning,SAND SHARK
2924,13-Aug-1983,1983,Provoked,USA,Florida,"Riviera Beach, Palm Beach County",SWIMMING/DIVING,M,14,N,Unknown,NURSE SHARK
2925,13-Aug-1983,1983,Unprovoked,USA,Florida,"6 miles south of Boca Chica Key, Monroe County ",SWIMMING/DIVING,F,22,N,Morning,BULL SHARK
2926,06-Aug-1983,1983,Uncertain,USA,Rhode Island,Unknown,FISHING,Unknown,Unknown,N,Unknown,Unknown
2927,26-Jul-1983,1983,Uncertain,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",SWIMMING/DIVING,F,21,Y,04h00,TIGER SHARK
2928,25-Jul-1983,1983,Uncertain,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",SWIMMING/DIVING,M,24,Y,Night,TIGER SHARK
2929,25-Jul-1983,1983,Uncertain,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",14 M PRAWN TRAWLER NEW VENTURE CAPSIZED  & SANK IN HEAVY SEAS THREE PEOPLE IN THE WATER,M,28,N,Night,TIGER SHARK
2930,15-Jul-1983,1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Seal Point, Cape St. Francis",SURFING/WATERSPORTS,M,Unknown,N,Unknown,Unknown
2931,12-Jul-1983,1983,Unprovoked,USA,Florida,"Caloosahatchee River, Lee County",SURFING/WATERSPORTS,F,39,N,Afternoon,HAMMERHEAD SHARK
2932,08-Jul-1983,1983,Unprovoked,BAHAMAS,Abaco Islands,Green Turtle Cay,FISHING,M,13,N,12h00,Unknown
2933,05-Jul-1983,1983,Unprovoked,USA,Florida,"Riviera Beach, Palm Beach County",FLOATING ON AIR MATTRESS,M,17,N,Unknown,Unknown
2934,29-Jun-1983,1983,Unprovoked,USA,Florida,"Off 12th Street, Miami Beach",SWIMMING/DIVING,M,42,N,11h00,Unknown
2935,22-Jun-1983,1983,Unprovoked,BAHAMAS,Abaco Islands,"Off Sandy Point, Great Abaco Island",FISHING,M,15,Y,16h00,Unknown
2936,20-Jun-1983,1983,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",SURFING/WATERSPORTS,M,21,N,16h30,Unknown
2937,15-Jun-1983,1983,Unprovoked,BAHAMAS,Unknown,Carter Cay,UNKNOWN,M,30,N,11h00,BLACKTIP SHARK
2938,15-Jun-1983,1983,Uncertain,ITALY,Northwest Italy,Riomaggiore (Ligura),SWIMMING/DIVING,M,Unknown,Unknown,Unknown,Unknown
2939,June 1983,1983,Unprovoked,BAHAMAS,Berry Islands,Whale Cay,FISHING,M,Unknown,N,17h00,REEF SHARK
2940,31-May-1983,1983,Unprovoked,USA,Florida,"Intracoastal Waterway, Boca Raton, Palm Beach County",WATER-SKIING,M,21,N,Dusk,Unknown
2941,24-May 1983,1983,Unprovoked,USA,Florida," Riviera Beach, Palm Beach County",SURFING/WATERSPORTS,M,15,N,Unknown,Unknown
2942,21-May-1983,1983,Unprovoked,USA,Florida,"Haulover Inlet, Dade County",SURFING/WATERSPORTS,M,22,N,14h00,Unknown
2943,19-Apr-1983,1983,Unprovoked,USA,Florida,Unknown,SURFING/WATERSPORTS,M,Unknown,Unknown,Unknown,Unknown
2944,12-Apr-1983,1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Bonza Bay,FISHING,M,27,N,19h30,RAGGEDTOOTH SHARK
2945,02-Apr-1983,1983,Unprovoked,USA,Florida,"Lake Worth Beach, Palm Beach County",SURFING/WATERSPORTS,M,16,N,11h00,Unknown
2946,02-Apr-1983,1983,Uncertain,SOUTH AFRICA,KwaZulu-Natal,Mpande,UNKNOWN,M,Unknown,Unknown,Unknown,Unknown
2947,30-Mar-1983,1983,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scottburgh,FISHING,M,17,N,11h15,ZAMBEZI SHARK
2948,22-Mar-1983,1983,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,SURFING/WATERSPORTS,M,Unknown,N,12h30,SPINNER SHARK
2949,10-Mar-1983,1983,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",SURFING/WATERSPORTS,M,Unknown,N,Unknown,Unknown
2950,Mar-1983,1983,Unprovoked,NEW CALEDONIA,Loyalty Islands,"We, Lifou",UNKNOWN,Unknown,Unknown,N,Unknown,SMALL SHARK
2951,20-Feb-1983,1983,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Mtunzini,PADDLESKIING,M,16,N,12h30,Unknown
2952,24-Jan-1983,1983,Provoked,USA,South Carolina,60 miles southeast of Beaufort,FISHING,M,43,N,Unknown,Unknown
2953,15-Jan-1983,1983,Uncertain,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,UNKNOWN,M,Unknown,Unknown,Unknown,Unknown
2954,10-Jan-1983,1983,Unprovoked,SOUTH AFRICA,Western Cape Province,Muizenberg,SURFING/WATERSPORTS,M,22,N,18h15,Unknown
2955,08-Jan-1983,1983,Unprovoked,SOUTH AFRICA,Western Cape Province,Holbaai,FISHING,M,32,N,13h00,WHITE SHARK
2956,Ca. 1983,1983,Unprovoked,Unknown,English Channel,Unknown,SWIMMING/DIVING,M,Unknown,N,Unknown,Unknown
2957,1983,1983,Unprovoked,VANUATU,Malampa Province,"Off the beach opposite Atchin Island, Malakula",RAN INTO THE WATER,M,Unknown,Y,Unknown,Unknown
2958,1983,1983,Provoked,USA,North & South Carolina,Unknown,FISHING,M,Unknown,N,Unknown,BLUE SHARK
2959,Nov-1982,1982,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",IN WAIST-DEEP WATER,M,Unknown,N,Unknown,Unknown
2960,13-Oct-1982,1982,Unprovoked,USA,Florida,North Dade- Interama area of Biscayne Bay,SURFING/WATERSPORTS,M,26,N,11h00,Unknown
2961,30-Sep-1982,1982,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",SURFING/WATERSPORTS,M,16,N,16h00,Unknown
2962,30-Sep-1982,1982,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",SURFING/WATERSPORTS,M,16,N,14h50,WHITE SHARK
2963,27-Sep-1982,1982,Unprovoked,USA,Florida,"Patrick Air Force Base, Brevard County",SURFING/WATERSPORTS,M,20,N,13h30,Unknown
2964,25-Sep-1982,1982,Unprovoked,USA,California,"Monastery Beach, Carmel Bay, Monterey County",SWIMMING/DIVING,M,36,N,Morning,WHITE SHARK
2965,19-Sep-1982,1982,Unprovoked,USA,California,"Bear Harbor, Mendocino County",SWIMMING/DIVING,M,28,N,14h30,WHITE SHARK
2966,04-Sep-1982,1982,Uncertain,USA,Florida,"Hollywood Beach, Broward County",UNKNOWN,M,mid-20s,Unknown,Unknown,Unknown
2967,29-Aug-1982,1982,Unprovoked,JAPAN,Kumamoto Prefecture,Ariake Bay,UNKNOWN,M,Unknown,Y,Unknown,Unknown
2968,29-Aug-1982,1982,Uncertain,USA,California,"Morro Rock, Morro Bay, San Obispo County",SURFING/WATERSPORTS,M,17,Unknown,10h20,AS SHARK
2969,29-Aug-1982,1982,Unprovoked,SOUTH AFRICA,Western Cape Province,Langebaan,SWIMMING/DIVING,F,18,N,12h00,Unknown
2970,Late Aug-1982,1982,Unprovoked,TUNISIA,Unknown,"Skanes, near Monaster",SURFING/WATERSPORTS,M,Unknown,N,Unknown,SPINNER SHARK
2971,31-Jul-1982,1982,Uncertain,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,SURFING/WATERSPORTS,M,20,Unknown,16h00,Unknown
2972,24-Jul-1982,1982,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",PADDLESKIING,M,38,N,16h00,WHITE SHARK
2973,24-Jul-1982,1982,Unprovoked,USA,California,"Point Buchon, San Luis Obispo County",SURFING/WATERSPORTS,M,26,N,11h00,WHITE SHARK
2974,19-Jul-1982,1982,Unprovoked,USA,Florida,"Stuart Beach, Martin County ",SWIMMING/DIVING,M,17,N,Late afternoon,Unknown
2975, 11-Jul-1982,1982,Uncertain,USA,California,"Malibu, Los Angeles County",SWIMMING/DIVING,M,43,Unknown,Unknown,A SHARK
2976,01-Jul-1982,1982,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",SWIMMING/DIVING,F,19,N,14h30,Unknown
2977,Jul-1982,1982,Unprovoked,NEW CALEDONIA,South Province,"Sarcelle, Isle of Pines",UNKNOWN,Unknown,Unknown,N,Unknown,Unknown
2978,29-Jun-1982,1982,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Ntlonyana Bay,SURFING/WATERSPORTS,M,27,Y,09h30,WHITE SHARK
2979,26-Jun-1982,1982,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",SWIMMING/DIVING,M,20,N,16h30,Unknown
2980,26-Jun-1982,1982,Unprovoked,BAHAMAS,Andros Islands,North Rat Cay Reef,FISHING,M,19,N,Unknown,LEMON SHARK
2981,  25-Jun-1982,1982,Unprovoked,USA,Florida,"Ormond Beach / Daytona Beach, Volusia County",UNKNOWN,F,8,N,11h00,Unknown
2982,13-Jun-1982,1982,Unprovoked,USA,Hawaii,"Ho'okipa Beach, Pa'ia, Maui",SURFING/WATERSPORTS,M,Unknown,N,Unknown,REEF SHARK
2983,May 1982,1982,Uncertain,USA,South Carolina,"Daws Island, Broad River (near Beaufort)",UNKNOWN,F,Ca. 33,Unknown,Unknown,Unknown
2984,10-Mar-1982,1982,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",SURFING/WATERSPORTS,M,16,N,14h00,Unknown
2985,07-Mar-1982,1982,Unprovoked,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",SURFING/WATERSPORTS,M,20,Y,12h00,Unknown
2986,Mar-1982,1982,Unprovoked,NEW CALEDONIA,Unknown,Unknown,FISHING,M,Unknown,N,Unknown,Unknown
2987,28-Feb-1982,1982,Unprovoked,AUSTRALIA,Tasmania,South Cape Bay,FISHING,M,32,Y,Unknown,WHITE SHARK
2988,27-Feb-1982,1982,Unprovoked,USA,Florida,"Hobe Sound, Palm Beach County",SURFING/WATERSPORTS,M,18,N,Unknown,Unknown
2989,17-Feb-1982,1982,Provoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,FISHING,M,Unknown,N,Unknown,Unknown
2990,14-Feb-1982,1982,Unprovoked,USA,Hawaii,"White Plains Beach, Barbers Point, O'ahu",SWIMMING/DIVING,F,Unknown,N,Unknown,Unknown
2991,14-Feb-1982,1982,Unprovoked,USA,Hawaii,"White Plains Beach, Barbers Point, O'ahu",SWIMMING/DIVING,F,Unknown,N,Unknown,Unknown
2992,13-Feb-1982,1982,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",SWIMMING/DIVING,F,75,Y,Prior to 10h37,Unknown
2993,07-Feb-1982,1982,Unprovoked,USA,California,"Stillwater Cove, Sonoma County",SWIMMING/DIVING,M,Unknown,N,11h00,WHITE SHARK
2994,07-Feb-1982,1982,Unprovoked,USA,Florida,Elliot Key,SWIMMING/DIVING,M,29,Y,Unknown,Unknown
2995,29-Jan-1982,1982,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Mpekeweni,SWIMMING/DIVING,M,20,N,16h30,RAGGEDTOOTH SHARK
2996,1982,1982,Uncertain,ITALY,Tyrrhenian Sea,"Lacona, Isola d'Elba",BOAT,M,Unknown,Unknown,Unknown,WHITE SHARK
2997,1982,1982,Uncertain,ITALY,Tyrrhenian Sea,"Biodola, Isola d'Elba",FISHING,M,Unknown,N,Unknown,WHITE SHARK
2998,1982,1982,Unprovoked,TUNISIA,Biserta,Bechateur,FISHING,Unknown,Unknown,Unknown,Unknown,Unknown
2999,19-Dec-1981,1981,Unprovoked,USA,California,"South Moss Beach, Spanish Bay, Monterey Peninsula",SURFING/WATERSPORTS,M,24,Y,Evening,WHITE SHARK
3000,13-Dec-1981,1981,Unprovoked,AUSTRALIA,Queensland,Green Island,UNKNOWN,Unknown,Unknown,N,Unknown,Unknown
3001,13-Dec-1981,1981,Unprovoked,USA,Hawaii,"Nimitz Beach, Barbers Point, O'ahu",SURFING/WATERSPORTS,M,Unknown,N,Unknown,TIGER SHARK
3002,30-Nov-1981,1981,Unprovoked,REUNION,Saint-Philippe,Vicendo,FISHING,M,Unknown,N,Late afternoon,Unknown
3003,19-Oct-1981,1981,Provoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,INSPECTING TEETH OF SUPPOSEDLY DEAD (HOOKED & SHOT) SHARK,M,Unknown,N,Unknown,WHITE SHARK
3004,09-Nov-1981,1981,Unprovoked,USA,Hawaii,"La'au Point, Moloka'i",SWIMMING/DIVING,M,59,N,Unknown,Unknown
3005,19-Oct-1981,1981,Unprovoked,USA,Florida,"Jupiter Island, Brevard County",SWIMMING/DIVING,M,19,N,11h30,Unknown
3006,17-Oct-1981,1981,Unprovoked,USA,Florida,"Palm Beach, Palm Beach County",SURFING/WATERSPORTS,M,Unknown,Unknown,09h45,Unknown
3007,16-Oct-1981,1981,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",SURFING/WATERSPORTS,M,17,N,Unknown,Unknown
3008,01-Oct-1981,1981,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",SURFING/WATERSPORTS,M,24,N,Unknown,Unknown
3009,28-Sep-1981,1981,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",SURFING/WATERSPORTS,M,28,N,18h00,Unknown
3010,27-Sep-1981,1981,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",SURFING/WATERSPORTS,M,Unknown,N,Unknown,Unknown
3011,15-Sep-1981,1981,Unprovoked,USA,Florida,"Tampa Bay, Manatee County",SWIMMING/DIVING,M,26,Y,P.M.,TIGER SHARKHAMMERHEAD SHARK
3012,03-Sep-1981,1981,Unprovoked,USA,Florida,"Patrick Air Force Base, Brevard County",SURFING/WATERSPORTS,M,25,N,12h00,Unknown
3013,03-Sep-1981,1981,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",SURFING/WATERSPORTS,M,24,N,Morning,Unknown
3014,29-Aug-1981,1981,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",SURFING/WATERSPORTS,M,15,N,Unknown,Unknown
3015,24-Aug-1981,1981,Provoked,USA,Florida,Gulf Island National Seashore Park,FISHING,M,19,N,Unknown,Unknown
3016,24-Aug-1981,1981,Uncertain,USA,Hawaii,"Keaukaha, Hilo, Hawai'i",FISHING,M,Unknown,Unknown,Unknown,Unknown
3017,10-Aug-1981,1981,Unprovoked,USA,Florida,"Marathon, Monroe County",SWIMMING/DIVING,M,Unknown,N,Unknown,NURSE SHARK
3018,10-Aug-1981,1981,Unprovoked,USA,Florida,"Ormond Beach / Daytona Beach, Volusia County",SWIMMING/DIVING,F,19,Y,Daybreak,Unknown
3019,07-Aug-1981,1981,Unprovoked,BAHAMAS,Grand Bahama Island,"Gingerbread Reef, east of Little Isaac Island ",SURFING/WATERSPORTS,M,53,N,12h00,MAKO SHARK
3020,20-Jul-1981,1981,Unprovoked,USA,Florida,"St. Petersburg Beach, Pinellas County",SWIMMING/DIVING,F,16,N,Unknown,Unknown
3021,18-Jul-1981,1981,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,SURFING/WATERSPORTS,M,32,N,10h15,ZAMBEZI SHARK
3022,07-Jul-1981,1981,Unprovoked,USA,Florida,Carter Cay,FISHING,M,Unknown,N,18h10,Unknown
3023,01-Jul-1981,1981,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Clansthal,CATCHING SARDINES,M,Unknown,N,Unknown,GRAY SHARK
3024,Reported 15-Jun-1981,1981,Uncertain,ENGLAND,Unknown,Isle of Wight,FISHING,M,Unknown,N,Unknown,THRESHER SHARK
3025,12-Jun-1981,1981,Uncertain,USA,Hawaii,"Honoli'i Pali, Hilo Bay ('Alae Point), Hawai'i",UNKNOWN,M,Unknown,Unknown,Unknown,Unknown
3026,24-May-1981,1981,Unprovoked,USA,Hawaii,"Ha'ena Beach Park, Kaua'i",SWIMMING/DIVING,M,Unknown,Y,Unknown,Unknown
3027,23-May-1981,1981,Unprovoked,SOUTH KOREA,Chungnam,Wae-yeon Island,SWIMMING/DIVING,F,27,Y,12h30,WHITE SHARK
3028,20-May-1981,1981,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,SURFING/WATERSPORTS,M,27,N,08h30,RAGGEDTOOTH SHARK
3029,19-May-1981,1981,Unprovoked,USA,Florida,"Sands Cut, Elliot Key",SWIMMING/DIVING,M,32,N,Unknown,Unknown
3030,16-May-1981,1981,Unprovoked,USA,Florida,"Jacksonville, Duval County",SWIMMING/DIVING,M,Unknown,N,Unknown,LEMON SHARK
3031,10-May-1981,1981,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kings Beach,SURFING/WATERSPORTS,M,19,N,14h45,RAGGEDTOOTH SHARK
3032,07-May-1981,1981,Provoked,NAMIBIA,Eronogo Region,Walvis Bay,FINNING THE SHARK THAT BIT HIM,M,Unknown,N,Unknown,Unknown
3033,08-Mar-1981,1981,Uncertain,BERMUDA,Unknown,Unknown,FOUNDERING OF THE ISRAELI FREIGHTER MEZADA,Unknown,Unknown,N,Unknown,Unknown
3034,05-May-1981,1981,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Ntlonyane Bay,SURFING/WATERSPORTS,M,24,N,09h00,TIGER SHARK
3035,25-Mar-1981,1981,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",SWIMMING/DIVING,M,19,N,15h00,DUSKY SHARK
3036,24-Mar-1981,1981,Unprovoked,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",SURFING/WATERSPORTS,M,24,N,17h30,Unknown
3037,04-Mar-1981,1981,Unprovoked,CHILE,Coquimbo,"Bahia Totoralillo, 80  km north of Coquimbo",SWIMMING/DIVING,M,Unknown,N,10h30,WHITE SHARK
3038,Mar-1981,1981,Unprovoked,BRAZIL,Rio de Janeiro,Cabo Frio,SWIMMING/DIVING,Unknown,Unknown,Unknown,Unknown,WHITE SHARK
3039,19-Feb-1981,1981,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umtentweni,SWIMMING/DIVING,M,30,N,17h20,BLACKTIP SHARK
3040,16-Feb-1981,1981,Unprovoked,AUSTRALIA,Western Australia,"Leighton Beach, north of Freemantle",EXERCISING HIS DOG IN THE SHALLOWS,M,Unknown,N,Unknown,HAMMERHEAD SHARK
3041,07-Feb-1981,1981,Unprovoked,AUSTRALIA,Western Australia,"Parker's Point, Rottnest Island",UNKNOWN,Unknown,Unknown,Unknown,Unknown,Unknown
3042,02-Feb-1981,1981,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",SURFING/WATERSPORTS,M,15,N,13h30,HAMMERHEAD SHARK
3043,Feb-1981,1981,Unprovoked,BRAZIL,Rio de Janeiro,Cabo Frio,FISHING,Unknown,Unknown,N,Unknown,Unknown
3044,30-Jan-1981,1981,Unprovoked,USA,Florida,20 miles from Mayport,FISHING,M,25,N,Unknown,TIGER SHARK
3045,01-Jan-1981,1981,Uncertain,SOUTH AFRICA,KwaZulu-Natal,Widenham,SWIMMING/DIVING,M,23,Unknown,Unknown,Unknown
3046,1981,1981,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,SURFING/WATERSPORTS,M,27,N,07h00,TIGER SHARK
3047,Summer of 1981,1981,Unprovoked,GREECE,Pagasitikos Gulf,Unknown,SWIMMING/DIVING,M,Unknown,N,Unknown,Unknown
3048,12-30-1980,1980,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Nahoon,PADDLESKIING,M,25,N,17h15,Unknown
3049,26-Dec-1980,1980,Uncertain,SOUTH AFRICA,Eastern Cape Province,Port Elizabeth,UNKNOWN,Unknown,Unknown,Unknown,Unknown,Unknown
3050,24-Nov-1980,1980,Unprovoked,REUNION,Grand'Anse,Petite-Ile,FISHING,M,22,N,15h00,WHITE SHARK
3051,18-Nov-1980,1980,Unprovoked,AUSTRALIA,Western Australia,Lancelin,SWIMMING/DIVING,M,Unknown,N,Unknown,Unknown
3052,17-Nov-1980,1980,Uncertain,SOUTH AFRICA,KwaZulu-Natal,Mnini,SWIMMING/DIVING,M,Unknown,Unknown,Unknown,Unknown
3053,11-Nov-1980,1980,Unprovoked,BRAZIL,Pernambuco,Piedade,SWIMMING/DIVING,M,16,Y,Unknown,Unknown
3054,27-Oct-1980,1980,Unprovoked,USA,Oregon,Off Umpqua River,SURFING/WATERSPORTS,M,29,N,15h45,WHITE SHARK
3055,17-Oct-1980,1980,Unprovoked,USA,California,"Moonstone Beach, Humboldt County",SURFING/WATERSPORTS,M,19,N,09h30,WHITE SHARK
3056,Reported 22-Aug-1980,1980,Unprovoked,MEXICO,Unknown,Unknown,SWIMMING/DIVING,M,22,Y,Unknown,Unknown
3057,10-Aug-1980,1980,Unprovoked,USA,North Carolina,"Ocean Isle, Brunswick County",SWIMMING/DIVING,F,10,N,Unknown,Unknown
3058,04-Aug-1980,1980,Unprovoked,USA,Hawaii,"Puamana, Lahaina, Maui",SURFING/WATERSPORTS,M,Unknown,N,Unknown,TIGER SHARK
3059,26-Jul-1980,1980,Unprovoked,SPAIN,Canary Islands,"San Juan de la Rambla, Tenerife",SWIMMING/DIVING,M,Unknown,N,Unknown,BLUE SHARK
3060,27-Jul-1980,1980,Unprovoked,USA,New Jersey,"Ocean City, Cape May County",SURFING/WATERSPORTS,M,15,N,15h00,Unknown
3061,23-Jul-1980,1980,Unprovoked,USA,Delaware,Dewey Beach,STANDING,F,22,N,Afternoon,Unknown
3062,Late Jul-1980,1980,Unprovoked,USA,North Carolina,"Emerald Isle Pier (near Morehead City), Carteret County",SURFING/WATERSPORTS,M,Unknown,N,Unknown,Unknown
3063,Early Jul-1980,1980,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",SURFING/WATERSPORTS,M,Unknown,N,Unknown,Unknown
3064,26-Jun-1980,1980,Provoked,USA,California,"Off San Clemente Island, Los Angeles County",SWIMMING/DIVING,F,44,N,Unknown,BLUE SHARK
3065,15-May-1980,1980,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Fullers Bay,SURFING/WATERSPORTS,M,22,N,08h00,Unknown
3066,25-Apr-1980,1980,Provoked,JAMAICA,St. Mary's Parish,"Priestman's River area, East Portland",FISHING,M,Unknown,N,Unknown,Unknown
3067,22-Apr-1980,1980,Uncertain,PHILIPPINES,Romblon Province,"Maestre de Campo Island, 120 miles south of Manila",SINKING OF THE FERRYBOAT DON JUAN,Unknown,Unknown,Y,Night,Unknown
3068,Apr-1980,1980,Unprovoked,MEXICO,Sinaloa,Mazatlán,SURFING/WATERSPORTS,F,13,N,Early afternoon,TIGER SHARK
3069,29-Mar-1980,1980,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Umdhloti,SWIMMING/DIVING,M,52,Y,Unknown,TIGER SHARK
3070,28-Mar-1980,1980,Unprovoked,BRAZIL,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",SWIMMING/DIVING,M,Unknown,N,Afternoon,Unknown
3071,15-Mar-1980,1980,Uncertain,PHILIPPINES,Unknown,250 miles southwest of Manila,SINKING OF THE FERRYBOAT BONGBONG 1,F,Unknown,Y,Unknown,Unknown
3072,11-Mar-1980,1980,Provoked,SOUTH AFRICA,Western Cape Province,Velddrif,FISHING,M,61,N,Unknown,HAMMERHEAD SHARK
3073,31-Jan-1980,1980,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Ballito,SURFING/WATERSPORTS,M,24,N,14h45,WHITE SHARK
